地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選否,是否現任,year
苗栗縣,康世儒,2,男,1991,無,60356,19.06,N,N,2014
苗栗縣,江明修,3,男,1991,無,14978,4.73,N,N,2014
苗栗縣,陳淑芬,4,女,1991,無,2137,0.67,N,N,2014
苗栗縣,曾國良,5,男,1991,無,1807,0.57,N,N,2014
苗栗縣,吳宜臻,6,女,1991,民主進步黨,89838,28.37,N,N,2014
彰化縣,黃文玲,1,女,1991,無,37593,5.23,N,N,2014
彰化縣,洪敏雄,2,男,1991,無,10674,1.48,N,N,2014
彰化縣,魏明谷,3,男,1991,民主進步黨,386405,53.71,Y,N,2014
彰化縣,林滄敏,4,男,1991,中國國民黨,284738,39.58,N,N,2014
南投縣,李文忠,1,男,1991,民主進步黨,143719,49.04,N,N,2014
南投縣,林明溱,2,男,1991,中國國民黨,149361,50.96,Y,N,2014
雲林縣,張麗善,1,女,1991,中國國民黨,175862,43.02,N,N,2014
雲林縣,李進勇,2,男,1991,民主進步黨,232900,56.98,Y,N,2014
嘉義縣,黃宏成台灣阿成世界偉人,1,男,1991,無,8639,2.82,N,N,2014
嘉義縣,張花冠,2,女,1991,民主進步黨,193399,63.09,Y,N,2014
嘉義縣,翁重鈞,3,男,1991,中國國民黨,104488,34.09,N,N,2014
屏東縣,簡太郎,1,男,1991,中國國民黨,182027,37.07,N,N,2014
屏東縣,潘孟安,2,男,1991,民主進步黨,308953,62.93,Y,N,2014
宜蘭縣,林聰賢,1,男,1991,民主進步黨,160253,63.95,Y,N,2014
宜蘭縣,邱淑媞,2,女,1991,中國國民黨,90320,36.05,N,N,2014
花蓮縣,傅崐萁,1,男,1991,無,89048,56.53,Y,N,2014
花蓮縣,徐榛蔚,2,女,1991,無,5436,3.45,N,N,2014
花蓮縣,黄師鵬,3,男,1991,無,2369,1.5,N,N,2014
花蓮縣,柯賜海,4,男,1991,無,14954,9.49,N,N,2014
花蓮縣,朱國華,5,男,1991,無,2218,1.41,N,N,2014
花蓮縣,蔡啟塔,6,男,1991,中國國民黨,43504,27.62,N,N,2014
臺東縣,劉櫂豪,1,男,1991,民主進步黨,53860,45.59,N,N,2014
臺東縣,黃健庭,2,男,1991,中國國民黨,64272,54.41,Y,N,2014
澎湖縣,陳光復,1,男,1991,民主進步黨,29164,55.34,Y,N,2014
澎湖縣,蘇崑雄,2,男,1991,中國國民黨,23533,44.66,N,N,2014
基隆市,謝立功,1,男,1991,中國國民黨,52198,27.47,N,N,2014
基隆市,黃景泰,2,男,1991,無,30914,16.27,N,N,2014
基隆市,林右昌,3,男,1991,民主進步黨,101010,53.15,Y,N,2014
基隆市,何燕堂,4,男,1991,人民民主陣線,1376,0.72,N,N,2014
基隆市,吳武明,5,男,1991,無,2023,1.06,N,N,2014
基隆市,江鑒育,6,男,1991,無,2517,1.32,N,N,2014
新竹市,劉正幸,1,男,1991,無,1914,0.96,N,N,2014
新竹市,許明財,2,男,1991,中國國民黨,75564,37.85,N,N,2014
新竹市,蔡仁堅,3,男,1991,無,40480,20.28,N,N,2014
新竹市,林智堅,4,男,1991,民主進步黨,76578,38.36,Y,N,2014
新竹市,吳淑敏,5,女,1991,無,5101,2.56,N,N,2014
嘉義市,陳秀麗,1,女,1991,無,633,0.44,N,N,2014
嘉義市,陳泰山,2,男,1991,無,786,0.54,N,N,2014
嘉義市,陳以真,3,女,1991,中國國民黨,66108,45.5,N,N,2014
嘉義市,涂醒哲,4,男,1991,民主進步黨,74698,51.41,Y,N,2014
嘉義市,許文建,5,男,1991,無,330,0.23,N,N,2014
嘉義市,林詩涵,6,女,1991,人民民主陣線,2747,1.89,N,N,2014
金門縣,蘇龍科,1,男,1991,無,470,1.03,N,N,2014
金門縣,雷由靖,2,男,1991,無,132,0.29,N,N,2014
金門縣,陳福海,3,男,1991,無,23965,52.77,Y,N,2014
金門縣,李沃士,4,男,1991,中國國民黨,15146,33.35,N,N,2014
金門縣,汪成華,5,女,1991,教科文預算保障e聯盟,403,0.89,N,N,2014
金門縣,洪志恒,6,男,1991,無,636,1.4,N,N,2014
金門縣,莊育民,7,男,1991,無,236,0.52,N,N,2014
金門縣,林水泉,8,男,1991,無,240,0.53,N,N,2014
金門縣,許乃權,9,男,1991,無,3834,8.44,N,N,2014
金門縣,楊榮祥,10,男,1991,無,354,0.78,N,N,2014
連江縣,劉增應,1,男,1991,中國國民黨,4385,66.25,Y,N,2014
連江縣,楊綏生,2,男,1991,中國國民黨,2234,33.75,N,N,2014
